Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
1,"True","","True
Yes
Oui
Sí
Vero
Sì
Verdadeiro
Sim
Verdadero
Vrai","","","Misc","N/A","","Super User"
2,"False","","Falso
Não
Non
No
No
False
Falso
No
Faux
Falso","","","Misc","N/A","","Super User"
3,"Lab Samples","","Lab Samples
Laboratory","","Blood
Urine
Serum
Semen
Stool
Montoux Test
Pleural
CSF
Tissue
Scrapping for Fungus
Asitic Fluid
Bronchoscopy Lavage (BAL)
Peritoneal
Gastric Lavage (GAL)
Knee Joint Fluid
Peritoneal Fluid
Pleural Fluid
Vaginal Fluid
Other Body Fluids
Pericardial
Sputum
Pus
Synovial Fluid
Slit Skin
Other Samples","Misc","N/A","Super Man","Super User"
4,"Dosage Frequency","","dosagefrequency
Dosage Frequency","QID
qD
BID
TID","","Question","Coded","Super User","Super User"
5,"qD","EVERY DAY","qd
qD","","","Misc","Text","Super User","Super User"
6,"BID","TWICE A DAY","BID
bid","","","Misc","Text","Super User","Super User"
7,"TID","THREE A DAY","TID
tid","","","Misc","Text","Super User","Super User"
8,"QID","FOUR A DAY","QID
qid","","","Misc","Text","Super User","Super User"
9,"Dosage Instructions","","dosage instructions
Dosage Instructions","PC
AC
HS","","Question","Coded","Super User","Super User"
10,"AC","BEFORE A MEAL","AC
ac","","","Misc","Text","Super User","Super User"
11,"PC","AFTER A MEAL","pc
PC","","","Misc","Text","Super User","Super User"
12,"HS","AT BEDTIME","HS
hs","","","Misc","Text","Super User","Super User"
13,"Visit Diagnoses","","Visit Diagnoses
Visit Diagnoses","","Non-coded Diagnosis
Coded Diagnosis
Diagnosis Certainty
Diagnosis order
Bahmni Initial Diagnosis
Bahmni Diagnosis Revised
Bahmni Diagnosis Status","ConvSet","N/A","Super User","Super User"
14,"Non-coded Diagnosis","","Non-coded Diagnosis
Non-coded Diagnosis","","","Question","Text","Super User","Super User"
15,"Coded Diagnosis","","Coded Diagnosis
Coded Diagnosis","","","Question","Coded","Super User","Super User"
16,"Diagnosis Certainty","","Diagnosis Certainty
Diagnosis Certainty","Presumed
Confirmed","","Question","Coded","Super User","Super User"
17,"Presumed","","Presumed
Presumed","","","Misc","N/A","Super User","Super User"
18,"Confirmed","","Confirmed
Confirmed","","","Misc","N/A","Super User","Super User"
19,"Diagnosis order","","Diagnosis order
Diagnosis order","Secondary
Primary","","Question","Coded","Super User","Super User"
20,"Secondary","","Secondary
Secondary","","","Misc","N/A","Super User","Super User"
21,"Primary","","Primary
Primary","","","Misc","N/A","Super User","Super User"
22,"Admit Patient","","Admit Patient
Admit Patient","","","Misc","N/A","Super User","Super User"
23,"Discharge Patient","","Discharge Patient
Discharge Patient","","","Misc","N/A","Super User","Super User"
24,"Transfer Patient","","Transfer Patient
Transfer Patient","","","Misc","N/A","Super User","Super User"
